user_input,retrieved_contexts,response,reference,context_precision,context_recall
How was the topic of securing autonomous agents addressed in the discussions mentioned in the context?,"[""['. So that will make sure that agents you know uh when you use agents like certain information is not getting leaked to models and all that. So this was discussed both in the APIM track and the AI lab. We also discussed uh securing agents again in the AI lab and uh in the track how to control uh you know because agents are becoming more and more autonomous and they are performing serious tasks right so there has to be a way to secure these agents and make sure that agents can only do what they can do so this is where we are bringing the agent identity into our IM products right so the another topic that is interesting testing is which is kind of becoming important is agents and SLMs which is something that we are also working on uh how to you know fine-tune these SLMs so that agents can work with them and get the level of accuracy that they need to have. So I think that would be it. Uh so and thank you very much. I would like to uh have Heat. Heat. [Music]']""]","The discussions focused on ensuring that when using agents, certain information is not leaked to models. This was part of a broader conversation on securing agents, especially as they become more autonomous and perform serious tasks, highlighting the need for a way to control their actions and secure them effectively.","The discussions focused on ensuring that when using agents, certain information is not leaked to models. This was part of a broader conversation on securing agents, especially as they become more autonomous and perform serious tasks, highlighting the need for a way to control their actions and secure them effectively.",0.9999999999,1.0
Who is Rana Kloff in the context of the panel discussion?,"['[""Hello everyone. Okay, so we are just about to get started with the panel. Uh so let me introduce the the panelists. So uh so we have in the panel uh Yad Ahmed right he\'s the CTO of Arabic AI and our Rana Kloff chief AI officer WSO2 and Alan Shmal did I get that right yeah okay executive vice president platform Vistra and Mahesh uh Saloria head of architecture HSBC uh Canbor general insurance right uh so uh let\'s start and and thanks for coming for the panel so uh I guess we will get started with you know you give a brief uh intro to what your company is doing and where you are in your AI journey >> sure you can sorry me Okay. So, yeah, my name is Ahmed. I\'m the CTO at Arabic AI. So, I have 24 years of experience in the technology and eight of them more closer to the NLP and AI. Uh, Turjim is a 17 years old company. So, uh we started work just as a translation and content generation uh company. In 2016, we ventured more into technology. We invested and uh actually we built like multiple workflow automated system just to do the translation and content uh generation. Uh last month fortunately we got like series A round of $50 million uh announced just for Arabic AI which is the domain that we own and the products that uh we work on. uh mainly we do model fine-tuning which is SLMs most of them uh agentic workflow building and uh and um application layer in some cases. Yeah, this is in a nutshell who I am and what we do. Over to you Rana. >> Hello everyone. I\'m Rana Kalaf.""]']",Rana Kloff is the Chief AI Officer at WSO2.,Rana Kloff is the Chief AI Officer at WSO2.,0.9999999999,1.0
What is the purpose of Agentic AI frameworks in Vistra's services?,"['[""SLMs most of them uh agentic workflow building and uh and um application layer in some cases. Yeah, this is in a nutshell who I am and what we do. Over to you Rana. >> Hello everyone. I\'m Rana Kalaf. I\'m the chief AI officer at WSO2. By now you\'ve probably heard a lot about WSO2. So uh I\'ll just highlight in our AI journey right we have uh two areas we\'re looking at one is how to accelerate all of you in using our products with embedded agents and co-pilots as well as um how to help you take advantage of AI by infusing it into your application through connectors to models through an agent building framework agent identification and authorization and so on and so forth. Hi everybody. >> Hello. Uh hi Alan here from from Vistra. Um we\'re a corporate services provider which does things like accounting, payroll, legal entity managements. Um and uh AI for us is two parts. The one part is is our conversational agent that\'s uh built with Aentic AI frameworks and it\'s there to do uh three things. Um there for advisory, there for reporting on customer data as well as executing uh workflows such as adding a director to a company may be an example of that. Um so I\'d call that those are synchronous um AI systems. The the asynchronous systems are kind of what we use on the back end to process unstructured data.""]']","Agentic AI frameworks are used in Vistra's services to build conversational agents that provide advisory services, report on customer data, and execute workflows, such as adding a director to a company.","Agentic AI frameworks are used in Vistra's services to build conversational agents that provide advisory services, report on customer data, and execute workflows, such as adding a director to a company.",0.9999999999,1.0
How is HSBC involved in the life insurance business?,"['[""ctor to a company may be an example of that. Um so I\'d call that those are synchronous um AI systems. The the asynchronous systems are kind of what we use on the back end to process unstructured data. um be it legal documents, be it bank statements, be it uh voice notes um whatever it may be to um to pass that data to structure it and then use it for whatever um needs it may be and eventually we\'ll probably look to bring those uh two things together at some point. Nice to be you with you all. >> Yeah. Hi everyone. Uh this is Mahesharia. U I represent the Canada HSBC life insurance here. So we are into the life insurance business. Uh so can it is started by the Canra and HSBC banks. So it is a joint venture of both the banks. So Canara is a second largest bank in India and HSBC is a global company. So u so this here we are securing the future of the individuals by providing the insurance and uh we are working on a lot of initiatives. So recently we worked on a uh underwriting co-pilot which is uh kind of a underwriting the risk of any individual and providing the underwriters the assistance so that there is no risk to the company as well as the organization. So we\'ll discuss in a more details there. Yeah happy to hear. Thank you.""]']","HSBC is involved in the life insurance business through a joint venture with Canara Bank, forming Canara HSBC Life Insurance. This venture focuses on securing the future of individuals by providing insurance.","HSBC is involved in the life insurance business through a joint venture with Canara Bank, forming Canara HSBC Life Insurance. This venture focuses on securing the future of individuals by providing insurance.",0.9999999999,1.0
How does Rana describe the shift in AI development from traditional data science to current AI capabilities?,"['[""y individual and providing the underwriters the assistance so that there is no risk to the company as well as the organization. So we\'ll discuss in a more details there. Yeah happy to hear. Thank you. So uh so Rana you know when you build these AI uh products you have this initial excitement right you want to deliver this experience then you want to take it to production but this complaints about I mean are these really delivering the business value so what are your thoughts on this how do you uh see this >> yeah that\'s a great question especially as we look at the evolution of how AI uh development has evolved over time. And if we look at traditional data science teams that are mainly folks that were usually working with Excel files, small data, uh potentially in notebooks and doing things just once as we get into AI and generative AI capability, we get much closer to distributed systems. And then even if you have a model now, you need to connect it to streaming data. You need it to be live. you need potentially real-time responses, latency matters. So all these things are a bit out of the domain of the traditional data scientists. And as we move to AI and the AI scientist um what\'s been happening now is that building AI applications became really a full team sport. So the model is only playing a small part and especially as we see with generative AI, the foundation models are usually run by uh someone else that and you are just using them.""]']","Rana describes the shift in AI development as moving from traditional data science teams, who primarily worked with Excel files and small data, to a state where AI and generative AI capabilities require integration with distributed systems. This shift involves connecting models to streaming data for live, real-time responses, with considerations like latency. Building AI applications has become a collaborative effort, with the model playing only a small part, especially as foundational models are often managed by others.","Rana describes the shift in AI development as moving from traditional data science teams, who primarily worked with Excel files and small data, to a state where AI and generative AI capabilities require integration with distributed systems. This shift involves connecting models to streaming data for live, real-time responses, with considerations like latency. Building AI applications has become a collaborative effort, with the model playing only a small part, especially as foundational models are often managed by others.",0.9999999999,1.0
How can AI teams ensure they are building value with tools like GitHub Copilot?,"['[""lly a full team sport. So the model is only playing a small part and especially as we see with generative AI, the foundation models are usually run by uh someone else that and you are just using them. So what we\'re really thinking about is how can we really enable building these applications in a way that is scalable that is production ready and making it so that the AI team and the folks working with AI can really focus on the business need that they have and the business data that they have. So that\'s one part where I think a lot of tools and platforms can really help you so that your team can focus on your core differentiator and not on building plumbing. The other part uh of your question is about how do you check that you\'re building value and I think that\'s where it really matters to look at AI as a tool and not as an objective right your objective is not to bring more AI right your objective is to make something faster something better so you need to think about what should you measure and how do you know if these tools are helping or hurting right so one example for examp instance is at one point you know GitHub copilot had a dashboard that you could see for the if you had the enterprise plan you could see how many of your de like are your developers accepting the suggestions from these assistants or not you know are these are these suggestions being accepted and is the code getting committed so there are some ways to measure if you\'re getting value and I think that\'s""]']","AI teams can ensure they are building value with tools like GitHub Copilot by measuring whether these tools are helping or hindering their objectives. For example, GitHub Copilot provides a dashboard for enterprise users to see if developers are accepting suggestions and if the code is being committed. This helps in assessing the tool's effectiveness in meeting business needs.","AI teams can ensure they are building value with tools like GitHub Copilot by measuring whether these tools are helping or hindering their objectives. For example, GitHub Copilot provides a dashboard for enterprise users to see if developers are accepting suggestions and if the code is being committed. This helps in assessing the tool's effectiveness in meeting business needs.",0.9999999999,1.0
What are the characteristics and considerations of using Anthropic models for conversational assistants?,"['[""m early on in journeys with AI engineers is they will optimize for accuracy first. >> Yeah. >> Because they don\'t want to get complaints from the users that it\'s hallucinating and giving a bad answer. >> So they usually go and buy the the biggest and most expensive model that\'s available on the market and and start with that which is a good place to to start. >> Um but then quickly you realize that there those models are you know inefficient. um there\'s there\'s high latency on them. Um and they can also get very expensive quite quickly as as well. Um so for us that was anthropic um great models um very very high quality, great reasoning, you know, very secure all all the stuff you need but they are they are quite expensive um to use and then you start actually asking yourself do you need these heavy models? So with us for the conversational assistants um speed\'s obviously quite important. It\'s a synchronous process. Um people want responses quite quickly. So then we start optimizing for reducing latency. And there\'s quite a bit we could do with the um the agent frameworks to help with that. But um the easiest thing to do was just to drop it down to a smaller model um which is one of their models called a haiku which which is I think their second or third model which is quite good for conversation and actually the accuracy was was was pretty good as as well. We was actually couldn\'t really notice the difference in terms of uh in terms of reasoning.""]']","Anthropic models are known for their high quality, strong reasoning, and robust security. However, they tend to be expensive and can have high latency. For conversational assistants, speed is crucial, so using a smaller model like Anthropic's Haiku can reduce latency while maintaining good accuracy and reasoning.","Anthropic models are known for their high quality, strong reasoning, and robust security. However, they tend to be expensive and can have high latency. For conversational assistants, speed is crucial, so using a smaller model like Anthropic's Haiku can reduce latency while maintaining good accuracy and reasoning.",0.9999999999,0.6666666666666666
What challenges are mentioned regarding the evaluation of AI models and their performance?,"['[""not coming into the picture. And what is your retraining period like? Uh >> so we are doing it uh every month and then there is a dependent on the models also uh lot of new uh models are coming right. So we are utilizing for example Jami 2.5 is there then there is a new versions are coming every 6 months now. So it is dependent on like what exactly you are doing. So rather than retraining on the previous model uh it\'s better to use the latest models and then see the accuracy there. So that\'s what we are following. Rana, you have any uh feedback on the top? >> Yeah, I I did want to add that uh this brings up a very important question about how do you evaluate your models and their performance and how do what do you do when there\'s changes to test that the thing still works as expected and this is where there\'s a lot of effort being put into the research around the agents and generative AI in general because these things are probabilistic. So you call it twice with the same prompt, it comes back with a different answer. So it\'s very hard to test uh these and you need some methodology or some data set benchmarks and so on to keep making sure that you know especially with the advances so quickly. So if every six months you potentially moving to a new model, >> you want to make sure you didn\'t lose any of the things that you had working. >> Okay. Yeah. So you have been working on small language model.""]']","The challenges in evaluating AI models include ensuring that models continue to function as expected when changes occur, given their probabilistic nature, which can lead to different answers from the same prompt. This requires methodologies or dataset benchmarks to ensure that advancements do not result in the loss of previously working features.","The challenges in evaluating AI models include ensuring that models continue to function as expected when changes occur, given their probabilistic nature, which can lead to different answers from the same prompt. This requires methodologies or dataset benchmarks to ensure that advancements do not result in the loss of previously working features.",0.9999999999,1.0
What was displayed on the screen during the presentation about evaluating AI agents?,"['[""valuate this uh this agent >> agent card makes that process easier >> 100% 100% >> okay >> yeah So and you also mentioned about the so where is the data set uh coming is that you mentioned that you generate it to some level and is that uh >> now the data set for uh for the evaluation we synthesize the data set. So if it is a rag for example agent >> you simply take some chunks synthesize some questions getting getting the the accurate answers from bigger model which here it\'s very important to use the closed source model right so you get the uh the predicted output then you run it over your model and you compare it also with uh with a closed source model right and then actually I saw one of the slides where um it says for example how is it doing in terms of clarity, transparency maybe Miam showed it on uh the on the screen and these are I mean every agent or task has its own metrics >> and there are like lots of uh task now DPAL is one of them or RO or I forgot uh ragas I mean there are lots of out ofthe-box evaluation um phrase framework that you can utilize or you build your own. >> Yeah. >> Yeah. >> Okay. So, since we are running out of time, let\'s do you know one last sort of a question. So, of course with AI we cannot predict what\'s going to happen in next 10 years, right? So, in the short term uh how do you see that this is going and what would be the main challenges uh in short term? Let\'s start with uh Mahesh.""]']",A slide was shown during the presentation that discussed how AI agents are evaluated in terms of clarity and transparency.,A slide was shown during the presentation that discussed how AI agents are evaluated in terms of clarity and transparency.,0.9999999999,1.0
What are the short-term challenges associated with the rapid advancement of AI technology?,"['[""t predict what\'s going to happen in next 10 years, right? So, in the short term uh how do you see that this is going and what would be the main challenges uh in short term? Let\'s start with uh Mahesh. So uh what I believe is like for example everybody is working on a very generic use cases right now right it is going to get domain specific use cases and everything will get stitched together so I think A2A protocols and others will play a lot of uh roles maybe MCPS are coming into the picture so while right now if you are developing something you need to stitch lot of APIs and data sources right and everybody was working on a data lake before right or maybe APIs integration platforms I don\'t think that\'s needed it\'s more about the context you\'re setting integrating with each other and you are done. So development cycles will reduce lot of business use cases will come into the picture in coming time. Yeah, >> I\'m going to give a a non- tech answer to that. I think the the challenge is change management. So I think the technology is moving fast. I think the technology is actually well ahead of what organizations can actually consume. Um at this point I think the actual the big important thing for us is think about the change management. So think about the people think about the processes you know bringing colleagues along on this journey particularly those that are going to get impacted uh from AI I think is is a real real challenge.""]']","The short-term challenges include managing change within organizations, as technology is advancing faster than organizations can absorb. This involves focusing on change management, considering the impact on people and processes, and guiding colleagues through the transition, especially those affected by AI.","The short-term challenges include managing change within organizations, as technology is advancing faster than organizations can absorb. This involves focusing on change management, considering the impact on people and processes, and guiding colleagues through the transition, especially those affected by AI.",0.9999999999,1.0
Why is change management important when implementing AI in organizations?,"['[""So think about the people think about the processes you know bringing colleagues along on this journey particularly those that are going to get impacted uh from AI I think is is a real real challenge. So I think that\'s where there\'s going to be a lot of focus and resources going forward as to how to um you know how to manage that and there\'s there\'s generally kind of two ways to do it. One way you can just push it into the existing organization. The other way is you can create a new organization on the side um and then sort of just lift and shift customers over to that as well as also um you know colleagues and professionals and there\'s probably a hybrid uh version as well. But you know I think uh you know certainly we we see in our space there\'s um there\'s a lot of focus on the tech which is good but sometimes the change management um is not really thought about too much which can be frustrating when you build great tech and then you know it\'s not um it\'s not accepted. I think there was a statistic last year and that\'s something like 15% of successful PC\'s actually made their way into production. successful PC\'s >> they actually work fine but they\'re rejected by the organization at 80% plus of the uh of the the time. So people and processes don\'t forget that one >> I will leave some for my keynote in an hour. So, but I do want to mention um something that I won\'t talk about then.""]']","Change management is crucial when implementing AI because, while there is a strong focus on the technology, the processes and people involved are often overlooked. This oversight can lead to frustration when effective technology is not accepted by the organization. Statistics indicate that only about 15% of successful projects are fully implemented, with over 80% being rejected due to inadequate change management.","Change management is crucial when implementing AI because, while there is a strong focus on the technology, the processes and people involved are often overlooked. This oversight can lead to frustration when effective technology is not accepted by the organization. Statistics indicate that only about 15% of successful projects are fully implemented, with over 80% being rejected due to inadequate change management.",0.9999999999,1.0
